0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/css/ace.min.css HTTP/1.1" 200 400194
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 35607
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 200 85663
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 4000
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84249
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36669
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 200 42839
