127.0.0.1 - - [03/Nov/2019:22:25:35 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:25:40 +0700] "GET /new-jdbc-12-month-2019/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:25:44 +0700] "GET /new-jdbc-12-month-2019/trang-chu;jsessionid=9C4148D6A67CB7396B2E492A0BB11E6D HTTP/1.1" 200 7555
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:25:44 +0700] "GET /new-jdbc-12-month-2019/images/house.jpg HTTP/1.1" 200 279908
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:25:44 +0700] "GET /new-jdbc-12-month-2019/images/green.jpg HTTP/1.1" 200 434074
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:25:44 +0700] "GET /new-jdbc-12-month-2019/template/image/lap.jpg HTTP/1.1" 200 121159
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:25:44 +0700] "GET /new-jdbc-12-month-2019/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:25:44 +0700] "GET /new-jdbc-12-month-2019/template/web/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:25:44 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:18 +0700] "GET /new-jdbc-12-month-2019/dang-nhap?action=login HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:23 +0700] "POST /new-jdbc-12-month-2019/dang-nhap?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:24 +0700] "GET /new-jdbc-12-month-2019/admin-home HTTP/1.1" 200 6902
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/css/ace.min.css HTTP/1.1" 200 400194
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 200 27752
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 111560
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/paging/jquery.twbsPagination.min.js HTTP/1.1" 200 6542
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 200 85663
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84249
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 35607
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 4000
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36669
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 200 42839
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 102051
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/ace.min.js HTTP/1.1" 200 49989
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:25 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 39719
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:26 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 241801
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:26:53 +0700] "GET /new-jdbc-12-month-2019/admin-new?type=list&page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 13147
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:27:01 +0700] "POST /new-jdbc-12-month-2019/admin-new HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:27:51 +0700] "DELETE /new-jdbc-12-month-2019/api-admin-new HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:27:51 +0700] "GET /new-jdbc-12-month-2019/admin-new?type=list&page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 13147
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:29:28 +0700] "GET /new-jdbc-12-month-2019/admin-new?type=edit HTTP/1.1" 200 12688
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:29:28 +0700] "GET /new-jdbc-12-month-2019/template/image/default.png HTTP/1.1" 200 2144
0:0:0:0:0:0:0:1 - - [03/Nov/2019:22:34:36 +0700] "POST /api-admin-new HTTP/1.1" 404 1087
